,postag,s_id,w_id,word,0
0,IN,1.0,0.0,By,68230
1,VBG,1.0,1.0,looking,7542
2,IN,1.0,2.0,at,70059
3,PRP$,1.0,3.0,your,17031
4,NN,1.0,4.0,list,1797
5,PRP,1.0,5.0,I,258405
6,RB,1.0,6.0,really,34922
7,VBP,1.0,7.0,think,21294
8,NNP,1.0,8.0,Michelle,479
9,NNP,1.0,9.0,Pfeiffer,132
10,VBZ,1.0,10.0,is,321694
11,RB,1.0,11.0,amazingly,533
12,JJ,1.0,12.0,sexy,1368
13,NNP,2.0,0.0,Kate,754
14,NNP,2.0,1.0,Hudson,379
15,VBZ,2.0,2.0,is,321694
16,JJ,2.0,3.0,nice,5752
17,VBP,3.0,0.0,Ca,90
18,RB,3.0,1.0,n't,115
19,VB,3.0,2.0,think,21294
20,IN,3.0,3.0,of,439756
21,NN,3.0,4.0,anyone,7832
22,RB,3.0,5.0,else,5948
23,RB,3.0,6.0,right,9902
24,RB,3.0,7.0,now,13946
25,PRP,4.0,0.0,I,258405
26,MD,4.0,1.0,'d,10109
27,VB,4.0,2.0,have,83569
28,TO,4.0,3.0,to,407216
29,VB,4.0,4.0,say,15684
30,PRP$,4.0,5.0,my,36415
31,NN,4.0,6.0,celebrity,324
32,NN,4.0,7.0,hottie,80
33,VBZ,4.0,8.0,is,321694
34,NNP,4.0,9.0,Dana,194
35,NNP,4.0,10.0,Darvey,0
36,CC,5.0,0.0,And,494087
37,VBD,5.0,1.0,were,32221
38,PRP,5.0,2.0,I,258405
39,TO,5.0,3.0,to,407216
40,VBG,5.0,4.0,swing,180
41,IN,5.0,5.0,for,133639
42,DT,5.0,6.0,the,1014971
43,JJ,5.0,7.0,other,27328
44,NN,5.0,8.0,team,2471
45,PRP,5.0,9.0,I,258405
46,VBP,5.0,10.0,think,21294
47,NNP,5.0,11.0,Ben,1403
48,NNP,5.0,12.0,Affleck,158
49,POS,5.0,13.0,'s,197995
50,DT,5.0,14.0,a,491473
51,NN,5.0,15.0,damn,1041
52,JJ,5.0,16.0,fine,3954
53,VBG,5.0,17.0,looking,7542
54,NN,5.0,18.0,man,17601
55,PRP,6.0,0.0,I,258405
56,VBP,6.0,1.0,like,60973
57,NNP,6.0,2.0,Kirstin,0
58,NNP,6.0,3.0,Dunst,101
59,CC,6.0,4.0,but,126937
60,PRP,6.0,5.0,I,258405
61,MD,6.0,6.0,would,37105
62,RB,6.0,7.0,n't,115
63,VB,6.0,8.0,label,224
64,PRP,6.0,9.0,her,54592
65,IN,6.0,10.0,as,139962
66,NN,6.0,11.0,sexy,1368
67,NNP,7.0,0.0,Sophia,80
68,NNP,7.0,1.0,Loren,80
69,VBZ,7.0,2.0,is,321694
70,DT,7.0,3.0,The,1014971
71,JJS,7.0,4.0,sexiest,52
72,NN,7.0,5.0,woman,8265
73,IN,7.0,6.0,of,439756
74,DT,7.0,7.0,all,71118
75,NN,7.0,8.0,time,37835
