s_id,w_id,word,nertag
1,0,By,O
1,1,looking,O
1,2,at,O
1,3,your,O
1,4,list,O
1,5,I,O
1,6,really,O
1,7,think,O
1,8,Michelle,P
1,9,Pfeiffer,P
1,10,is,O
1,11,amazingly,O
1,12,sexy,O
2,0,kate,O
2,1,hudson,O
2,2,is,O
2,3,nice,O
3,0,Ca,O
3,1,n't,O
3,2,think,O
3,3,of,O
3,4,anyone,O
3,5,else,O
3,6,right,O
3,7,now,O
4,0,i,O
4,1,'d,O
4,2,have,O
4,3,to,O
4,4,say,O
4,5,my,O
4,6,celebrity,O
4,7,hottie,O
4,8,is,O
4,9,dana,P
4,10,darvey,P
5,0,And,O
5,1,were,O
5,2,I,O
5,3,to,O
5,4,swing,O
5,5,for,O
5,6,the,O
5,7,other,O
5,8,team,O
5,9,I,O
5,10,think,O
5,11,Ben,P
5,12,Affleck,P
5,13,'s,O
5,14,a,O
5,15,damn,O
5,16,fine,O
5,17,looking,O
5,18,man,O
6,0,i,O
6,1,like,O
6,2,kirstin,O
6,3,dunst,O
6,4,but,O
6,5,i,O
6,6,would,O
6,7,n't,O
6,8,label,O
6,9,her,O
6,10,as,O
6,11,sexy,O
7,0,Sophia,P
7,1,Loren,P
7,2,is,O
7,3,The,O
7,4,sexiest,O
7,5,woman,O
7,6,of,O
7,7,all,O
7,8,time,O
7,9,in,O
7,10,my,O
7,11,opinion,O
8,0,monica,O
8,1,bellucci,O
8,2,is,O
8,3,the,O
8,4,hottest,O
8,5,hooker,O
8,6,in,O
8,7,brotherhood,O
8,8,of,O
8,9,the,O
8,10,wolf,O
9,0,I,O
9,1,really,O
9,2,do,O
9,3,n't,O
9,4,like,O
9,5,Catherine,P
9,6,Zeta,P
9,7,Jones,P
9,8,anymore,O
10,0,sarah,O
10,1,michelle,O
10,2,gellar,O
10,3,really,O
10,4,gets,O
10,5,my,O
10,6,fire,O
10,7,going,O
11,0,Angelina,P
11,1,Jolie,P
11,2,has,O
11,3,a,O
11,4,great,O
11,5,body,O
11,6,and,O
11,7,various,O
11,8,tatoos,O
11,9,but,O
11,10,she,O
11,11,adopted,O
11,12,a,O
11,13,baby,O
11,14,from,O
11,15,a,O
11,16,country,O
11,17,that,O
11,18,is,O
11,19,n't,O
11,20,so,O
11,21,lucky,O
11,22,as,O
11,23,ours,O
12,0,harrison,O
12,1,ford,O
12,2,especially,O
12,3,in,O
12,4,witness,O
13,0,I,O
13,1,think,O
13,2,that,O
13,3,Emma,P
13,4,Watson,P
13,5,is,O
13,6,really,O
13,7,hot,O
14,0,i,O
14,1,still,O
14,2,like,O
14,3,my,O
14,4,pick,O
14,5,the,O
14,6,most,O
14,7,emma,O
14,8,watson,O
15,0,I,O
15,1,have,O
15,2,to,O
15,3,say,O
15,4,Salma,P
15,5,Hayek,P
15,6,to,O
15,7,me,O
15,8,is,O
15,9,the,O
15,10,closest,O
15,11,thing,O
15,12,to,O
15,13,perfection,O
15,14,in,O
15,15,this,O
15,16,world,O
16,0,my,O
16,1,favorite,O
16,2,actress,O
16,3,is,O
16,4,kate,P
16,5,hudson,P
17,0,Michael,P
17,1,Pitt,P
17,2,is,O
17,3,absolutely,O
17,4,gorgeous,O
18,0,yeah,O
18,1,i,O
18,2,'d,O
18,3,have,O
18,4,to,O
18,5,agree,O
19,0,Jennifer,P
19,1,Aniston,P
19,2,is,O
19,3,a,O
19,4,nice,O
19,5,peice,O
19,6,of,O
19,7,ass,O
20,0,the,O
20,1,green,O
20,2,lantern,O
20,3,corps,O
20,4,has,O
20,5,battled,O
20,6,against,O
20,7,the,O
20,8,forces,O
20,9,of,O
20,10,evil,O
20,11,and,O
20,12,chaos,O
20,13,for,O
20,14,a,O
20,15,millennium,O
21,0,Jessica,P
21,1,Biel,P
21,2,and,O
21,3,Angelina,P
21,4,Jolie,P
21,5,have,O
21,6,gorgeous,O
21,7,faces,O
22,0,classy,O
22,1,is,O
22,2,probably,O
22,3,the,O
22,4,least,O
22,5,likely,O
22,6,word,O
22,7,you,O
22,8,would,O
22,9,expect,O
22,10,hear,O
22,11,associated,O
22,12,with,O
22,13,clara,O
22,14,bow,O
23,0,I,O
23,1,adore,O
23,2,Shawnee,P
23,3,Smith,P
23,4,a,O
23,5,whole,O
23,6,lot,O
24,0,josie,O
24,1,maran,O
24,2,was,O
24,3,one,O
24,4,of,O
24,5,Dracula,P
24,6,'s,O
24,7,brides,O
24,8,in,O
24,9,van,O
24,10,hesling,O
25,0,Sexiest,O
25,1,Actor,O
25,2,is,O
25,3,Brad,P
25,4,Pitt,P
26,0,sexiest,O
26,1,actress,O
26,2,angelina,O
26,3,jolie,O
27,0,Sorry,O
27,1,but,O
27,2,I,O
27,3,absolutely,O
27,4,loath,O
27,5,Kiera,P
27,6,Knightly,P
28,0,angelina,O
28,1,jolie,O
28,2,is,O
28,3,awesome,O
29,0,I,O
29,1,also,O
29,2,forget,O
29,3,to,O
29,4,mention,O
29,5,the,O
29,6,gorgeous,O
29,7,Antonio,P
29,8,Banderas,P
30,0,some,O
30,1,day,O
30,2,i,O
30,3,would,O
30,4,love,O
30,5,to,O
30,6,ask,O
30,7,catherine,O
30,8,zeta,O
30,9,jones,O
30,10,out,O
31,0,I,O
31,1,'ll,O
31,2,take,O
31,3,Hugh,P
31,4,Jackman,P
31,5,and,O
31,6,leave,O
31,7,the,O
31,8,rest,O
31,9,to,O
31,10,everyone,O
31,11,else,O
32,0,the,O
32,1,red,O
32,2,haired,O
32,3,actress,O
32,4,is,O
32,5,called,O
32,6,lauren,O
32,7,ambrose,O
33,0,Jennifer,P
33,1,Connelly,P
33,2,is,O
33,3,beautiful,O
33,4,in,O
33,5,that,O
33,6,remarkable,O
33,7,way,O
34,0,i,O
34,1,do,O
34,2,like,O
34,3,jennifer,O
34,4,connelly,O
34,5,better,O
34,6,than,O
34,7,keira,O
34,8,knightly,O
35,0,Well,O
35,1,if,O
35,2,I,O
35,3,had,O
35,4,to,O
35,5,stick,O
35,6,to,O
35,7,people,O
35,8,my,O
35,9,age,O
35,10,I,O
35,11,'d,O
35,12,say,O
35,13,Emma,P
35,14,Watson,P
35,15,but,O
35,16,Kate,P
35,17,Hudson,P
35,18,is,O
35,19,my,O
35,20,pick,O
36,0,angelina,O
36,1,jolie,O
36,2,owns,O
36,3,my,O
36,4,manhood,O
37,0,Jake,P
37,1,Gyllenhaal,P
37,2,is,O
37,3,rather,O
37,4,dreamy,O
38,0,i,O
38,1,have,O
38,2,also,O
38,3,had,O
38,4,a,O
38,5,long,O
38,6,term,O
38,7,love,O
38,8,affair,O
38,9,with,O
38,10,jareod,O
38,11,leto,O
39,0,I,O
39,1,bet,O
39,2,he,O
39,3,passes,O
39,4,up,O
39,5,Tobey,P
39,6,in,O
39,7,the,O
39,8,popularity,O
39,9,department,O
39,10,some,O
39,11,time,O
39,12,soon,O
40,0,i,O
40,1,'m,O
40,2,attracted,O
40,3,to,O
40,4,that,O
40,5,monica,O
40,6,bellucci,O
40,7,actress,O
41,0,Naomi,P
41,1,Watts,P
41,2,is,O
41,3,the,O
41,4,most,O
41,5,beautiful,O
41,6,and,O
41,7,talented,O
41,8,actress,O
41,9,in,O
41,10,hollywood,O
42,0,i,O
42,1,think,O
